,DMSO 01,DMSO 02,DMSO 03,RAPA 01,RAPA 02,RAPA 03,DMSO 01,DMSO 02,DMSO 03,RAPA 01,RAPA 02,RAPA 03,DMSO 01,DMSO 02,DMSO 03,RAPA 01,RAPA 02,RAPA 03
Alcam,0,0,0.96029,0,0,0,0,0,0,0,0,2.2322,0,0,0,0,0.8389,0
Aldh1b1,0,0,0,0,0,0,0,0,0,0,0,1.1161,0.97486,0.83568,1.8605,2.8566,1.6778,2.4054
Aldh2,0,0.95028,0,0,0,1.0865,0,0,1.9965,2.1564,0,2.2322,0.97486,0.83568,1.8605,0.9522,0.8389,0
Aldh4a1,0,0,0.96029,0,0,1.0865,0,0,0,0,0,0,0.97486,1.6714,2.7908,0.9522,1.6778,0.80178
Aldh5a1,2.948,2.8508,2.8809,4.889,3.2433,2.173,9.5148,1.8018,0.99827,5.3911,2.8858,7.8127,2.9246,4.1784,3.7211,5.7132,3.3556,3.2071
Aldh6a1,0,0.95028,1.9206,0,0,2.173,0,0.90092,0,2.1564,3.8477,1.1161,1.9497,2.507,2.7908,2.8566,2.5167,4.0089
Aldh7a1,0,0,0,0,1.0811,0,0,0,0,0,0,0,0,0,0,0.9522,1.6778,0
Aldh9a1,0,0,0,0,0,1.0865,0,0,0,0,0,0,0,0.83568,0,0,0,0
Aldoa,14.74,12.354,13.444,12.223,15.135,14.125,11.894,9.0092,10.981,15.095,10.581,12.277,11.698,14.206,13.024,17.14,15.939,18.441
Aldoc,16.214,8.5525,6.722,8.5558,11.892,7.6055,13.083,9.0092,11.979,17.252,10.581,20.09,7.7989,9.1924,10.233,6.6654,10.067,11.225
Amph,1.474,3.8011,2.8809,4.889,3.2433,4.346,8.3255,2.7028,1.9965,3.2347,2.8858,1.1161,6.824,7.5211,6.5119,7.6176,3.3556,4.8107
Anks1b,0,0.95028,0,1.2223,1.0811,2.173,2.3787,6.3064,2.9948,2.1564,3.8477,3.3483,0,0,0,0,0,0
Anxa3,1.474,0.95028,0.96029,0,1.0811,1.0865,1.1894,0,0,0,0,0,1.9497,0,0.93027,0.9522,0.8389,0
Anxa5,8.8439,1.9006,2.8809,3.6668,4.3244,3.2595,8.3255,0.90092,0.99827,3.2347,0.96192,3.3483,4.8743,2.507,2.7908,5.7132,1.6778,1.6036
Anxa6,0,2.8508,2.8809,2.4445,3.2433,1.0865,0,0.90092,0,1.0782,1.9238,0,2.9246,1.6714,3.7211,1.9044,4.1945,4.8107
