,DMSO 01,DMSO 02,DMSO 03,RAPA 01,RAPA 02,RAPA 03,DMSO 01,DMSO 02,DMSO 03,RAPA 01,RAPA 02,RAPA 03,DMSO 01,DMSO 02,DMSO 03,RAPA 01,RAPA 02,RAPA 03
Csnk2a1,0,0.95028,2.8809,0,0,1.0865,0,0,0,1.0782,0,0,2.9246,0.83568,0,1.9044,1.6778,2.4054
Ctbp1,0,0.95028,0,2.4445,0,0,0,1.8018,1.9965,0,0,1.1161,0,0,0.93027,0,0.8389,0.80178
Ctnnb1,0,2.8508,2.8809,0,1.0811,3.2595,0,1.8018,1.9965,1.0782,0.96192,1.1161,2.9246,4.1784,4.6514,1.9044,3.3556,1.6036
Cul3,0,0,0,0,0,0,0,0,0,0,0,0,0.97486,0,0,0,1.6778,0.80178
Cyb5r1,0,0,0,0,0,0,1.1894,0,0.99827,0,0,0,0,0,0,0.9522,0,0
Cycs,4.4219,3.8011,2.8809,6.1113,4.3244,4.346,7.1361,4.5046,3.9931,4.3129,3.8477,4.4644,4.8743,2.507,1.8605,4.761,3.3556,3.2071
Dab2ip,0,0,0,0,0,0,1.1894,0.90092,1.9965,0,0.96192,2.2322,0,0,0,0,0,0
Dars,0,0,0,0,0,0,0,0.90092,0,0,0,0,0,0,0,0,0,0
Dbn1,0,1.9006,2.8809,0,1.0811,3.2595,2.3787,5.4055,3.9931,3.2347,3.8477,2.2322,0,0,0,0,0,0
Dbnl,0,1.9006,2.8809,0,0,2.173,1.1894,0,0,0,0.96192,0,2.9246,0.83568,0.93027,0.9522,0.8389,0.80178
Dclk1,0,0.95028,1.9206,2.4445,1.0811,2.173,0,3.6037,0,0,0,0,0,0,0.93027,0.9522,1.6778,1.6036
Dctn1,0,0,0,0,0,1.0865,1.1894,0.90092,0.99827,0,0,0,0.97486,4.1784,1.8605,0.9522,2.5167,3.2071
Dctn2,0,0,1.9206,1.2223,0,1.0865,4.7574,0,0,3.2347,0,1.1161,0,0,0,0.9522,0,1.6036
Ddah1,1.474,1.9006,1.9206,2.4445,1.0811,2.173,0,0,0.99827,0,0,1.1161,0.97486,0,0.93027,0.9522,0.8389,0
Ddost,0,0,0,0,0,0,0,0,0,0,1.9238,2.2322,0,0,0,0,0,0
Ddt,4.4219,1.9006,1.9206,2.4445,1.0811,3.2595,2.3787,0,0.99827,0,0.96192,1.1161,0.97486,0.83568,0,0,0.8389,0
Dgkb,0,0,0,0,0,0,0,0.90092,0,0,0,0,0,0,0,0,1.6778,0
Dlat,10.318,2.8508,2.8809,3.6668,4.3244,4.346,3.5681,4.5046,4.9913,6.4693,4.8096,3.3483,3.8994,5.8497,4.6514,5.7132,5.0334,6.4143
Dld,4.4219,5.7017,5.7617,4.889,6.4866,7.6055,9.5148,9.9101,7.9861,7.5475,6.7335,12.277,7.7989,8.3568,5.5816,5.7132,8.389,7.2161
Dlg1,0,0,0,0,0,0,0,0,0,0,0,0,0.97486,1.6714,0.93027,0.9522,1.6778,2.4054
Dlg2,0,1.9006,1.9206,0,2.1622,1.0865,0,1.8018,2.9948,0,0,0,0.97486,0.83568,0.93027,0,0,1.6036
Dlg3,0,0,0,0,0,0,0,2.7028,0.99827,0,0.96192,0,0,0,0,0,0,0.80178
Dlg4,0,2.8508,2.8809,0,0,0,4.7574,9.9101,10.981,0,13.467,2.2322,0,0,0,0,0,0
Dlst,1.474,3.8011,2.8809,3.6668,3.2433,2.173,4.7574,3.6037,2.9948,5.3911,4.8096,2.2322,3.8994,1.6714,0.93027,3.8088,2.5167,1.6036
Dnah1,0,0,0,0,0,0,0,0,0,2.1564,0,0,0,0,0,0.9522,0,0
Dnajc5,2.948,3.8011,3.8412,3.6668,2.1622,3.2595,5.9468,1.8018,2.9948,2.1564,0.96192,2.2322,2.9246,1.6714,2.7908,3.8088,3.3556,3.2071
Dnm1,25.058,19.956,27.848,25.667,20.541,18.471,16.651,26.127,18.967,16.173,20.2,18.974,29.246,30.084,30.699,32.375,29.361,28.062
Dnm1l,5.8959,8.5525,8.6426,7.3336,12.973,9.7786,7.1361,0.90092,3.9931,4.3129,5.7715,2.2322,14.623,10.028,10.233,12.379,10.067,10.423
Dnm3,7.3699,4.7514,6.722,4.889,5.4055,4.346,1.1894,9.9101,7.9861,5.3911,7.6954,6.6966,5.8492,10.864,8.3724,8.5698,5.8723,8.0178
Dpp10,0,0.95028,1.9206,1.2223,1.0811,1.0865,1.1894,0,0,0,1.9238,0,1.9497,1.6714,0.93027,1.9044,1.6778,0.80178
Dpp3,0,0,0.96029,0,1.0811,0,0,0,0,0,0,0,1.9497,1.6714,0,0,0.8389,0
Dpp6,0,0,0.96029,0,0,1.0865,5.9468,2.7028,4.9913,2.1564,3.8477,5.5805,1.9497,4.1784,0.93027,0.9522,5.8723,2.4054
Dpysl2,44.219,30.409,27.848,42.779,34.595,35.855,47.574,34.235,34.939,45.285,30.782,27.903,34.12,37.605,31.629,35.232,32.717,35.279
Dpysl3,11.792,11.403,11.523,11,14.054,15.211,9.5148,9.9101,9.9827,11.86,10.581,10.045,10.723,11.699,12.094,11.426,14.261,9.6214
Dpysl4,4.4219,4.7514,5.7617,3.6668,4.3244,3.2595,0,2.7028,2.9948,2.1564,2.8858,0,3.8994,5.8497,3.7211,3.8088,5.0334,6.4143
Dpysl5,1.474,2.8508,2.8809,2.4445,3.2433,5.4325,1.1894,1.8018,2.9948,0,1.9238,0,1.9497,4.1784,3.7211,1.9044,5.8723,3.2071
Dync1h1,0,4.7514,8.6426,0,1.0811,3.2595,0,2.7028,8.9844,0,2.8858,1.1161,2.9246,41.784,5.5816,12.379,40.267,38.486
Dync1i1,0,0,0,0,0,0,0,0,0,0,0,0,0.97486,0,0,0,0.8389,0
Dync1li1,0,0.95028,0.96029,0,0,0,0,0,0,0,1.9238,1.1161,0.97486,0.83568,0.93027,0,1.6778,0.80178
Dynll2,0,0.95028,0.96029,1.2223,1.0811,2.173,1.1894,0.90092,0,2.1564,0.96192,2.2322,0.97486,0,0.93027,1.9044,0,1.6036
Eci1,1.474,0.95028,0.96029,1.2223,0,1.0865,0,0,0,0,0,0,1.9497,0.83568,0.93027,0.9522,1.6778,0
Eef1a1,7.3699,10.453,9.6029,8.5558,7.5677,9.7786,2.3787,4.5046,0.99827,3.2347,1.9238,2.2322,6.824,9.1924,8.3724,6.6654,7.5501,8.8196
Eef1a2,4.4219,10.453,9.6029,4.889,5.4055,7.6055,2.3787,4.5046,0.99827,1.0782,1.9238,2.2322,5.8492,7.5211,8.3724,3.8088,8.389,10.423
Eef1d,0,0.95028,1.9206,1.2223,0,1.0865,0,0,0,1.0782,0,1.1161,0,0,0,0,0,0
Eef1g,1.474,0.95028,1.9206,2.4445,0,1.0865,0,0.90092,0,0,0.96192,0,0,3.3427,0.93027,1.9044,3.3556,0.80178
Eef2,2.948,2.8508,4.8014,2.4445,3.2433,2.173,2.3787,3.6037,0.99827,2.1564,0,0,2.9246,8.3568,7.4422,5.7132,9.2279,11.225
Efhd2,1.474,0,0.96029,2.4445,2.1622,1.0865,1.1894,0,0,1.0782,1.9238,0,0.97486,0,0,0,0,0.80178
Ehd3,1.474,0.95028,1.9206,3.6668,1.0811,2.173,1.1894,3.6037,3.9931,5.3911,4.8096,2.2322,8.7737,3.3427,2.7908,5.7132,3.3556,2.4054
Eif4a2,2.948,3.8011,4.8014,3.6668,5.4055,3.2595,1.1894,0.90092,0,0,0,1.1161,0.97486,1.6714,1.8605,0.9522,4.1945,4.0089
Eif4h,0,0.95028,0.96029,1.2223,0,2.173,0,0.90092,0,3.2347,0,0,0.97486,0.83568,0,0.9522,0,0
Eif5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8605,0,0.8389,0.80178
Eif5a,0,0.95028,0.96029,1.2223,1.0811,1.0865,0,0,1.9965,2.1564,0,2.2322,0,2.507,0,0.9522,0.8389,1.6036
Eno1,25.058,20.906,21.126,23.223,23.784,20.644,20.219,8.1083,14.974,19.408,17.315,15.625,21.447,14.206,16.745,17.14,12.583,11.225
Eno2,25.058,25.658,17.285,23.223,21.622,19.557,24.976,15.316,15.972,26.955,16.353,27.903,14.623,12.535,10.233,14.283,12.583,13.63
Enoph1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4054
Enpp6,0,1.9006,2.8809,0,1.0811,0,1.1894,0.90092,2.9948,4.3129,0.96192,2.2322,0,0,0,0,0,0
Epb41l1,0,0,0,0,0,0,0,2.7028,0.99827,0,0,0,1.9497,1.6714,0,1.9044,0.8389,1.6036
Epn3,0,0,0,0,0,0,0,0.90092,0,0,0,0,0,0,0.93027,0.9522,0,0
Erc2,0,0.95028,0,0,0,0,0,1.8018,0,0,0.96192,0,0,0,0,0,0,0
Erp29,1.474,0,0.96029,0,1.0811,2.173,1.1894,0,0,3.2347,3.8477,2.2322,2.9246,0,0.93027,0,0,1.6036
Etfb,0,3.8011,2.8809,2.4445,2.1622,2.173,0,0,0,0,0,0,4.8743,1.6714,1.8605,3.8088,1.6778,1.6036
Exoc4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6036
Ezr,0,0.95028,0,0,1.0811,1.0865,1.1894,1.8018,0.99827,0,0.96192,1.1161,2.9246,3.3427,3.7211,0.9522,3.3556,2.4054
Faah,0,0.95028,0.96029,1.2223,1.0811,2.173,0,0,0,0,0,0,0.97486,1.6714,0.93027,1.9044,0.8389,0
Fabp7,0,0.95028,0,0,1.0811,2.173,0,0,0,0,0.96192,0,0.97486,0.83568,0,0.9522,0.8389,0
Fahd2,1.474,0.95028,0.96029,1.2223,2.1622,1.0865,0,0,0,1.0782,0,2.2322,1.9497,4.1784,3.7211,3.8088,4.1945,3.2071
Fam213a,2.948,1.9006,1.9206,1.2223,1.0811,2.173,0,1.8018,0.99827,1.0782,1.9238,2.2322,1.9497,1.6714,2.7908,2.8566,0.8389,1.6036
Fasn,0,0.95028,0.96029,0,0,1.0865,0,0,0,0,0,0,0.97486,6.6854,0.93027,2.8566,4.1945,6.4143
Fh,0,0.95028,1.9206,1.2223,2.1622,4.346,4.7574,4.5046,1.9965,7.5475,6.7335,8.9288,4.8743,2.507,0.93027,3.8088,2.5167,4.8107
Fis1,0,0,0,0,2.1622,2.173,0,0.90092,0,0,1.9238,0,0.97486,0,1.8605,0,0.8389,0
Fkbp1a,0,0,0,0,0,0,5.9468,1.8018,2.9948,2.1564,1.9238,4.4644,0,0,0,0,0,0
Fscn1,1.474,3.8011,3.8412,2.4445,2.1622,3.2595,1.1894,3.6037,0,3.2347,0.96192,1.1161,1.9497,5.8497,3.7211,5.7132,6.7112,4.8107
Fxyd6,0,1.9006,0.96029,1.2223,1.0811,1.0865,2.3787,0,0.99827,0,1.9238,2.2322,1.9497,0,0.93027,0.9522,0,0
Fyn,0,0.95028,1.9206,0,0,0,0,0,0,1.0782,0,0,0,0.83568,0,0,0.8389,1.6036
Gabbr1,0,0,0,0,0,1.0865,0,0,0,0,0,0,0,0.83568,1.8605,0.9522,0,0
Gad2,0,0,0.96029,1.2223,2.1622,0,0,0,0,1.0782,0,0,1.9497,2.507,0,1.9044,0.8389,0.80178
Gap43,0,1.9006,2.8809,0,2.1622,3.2595,2.3787,3.6037,3.9931,3.2347,1.9238,1.1161,2.9246,1.6714,2.7908,2.8566,2.5167,2.4054
Gapdh,28.006,21.857,21.126,26.89,22.703,19.557,7.1361,19.82,18.967,19.408,21.162,21.206,23.397,20.056,19.536,21.901,18.456,18.441
Gars,1.474,0,0.96029,0,1.0811,1.0865,0,0,0,0,0,0,0,0.83568,2.7908,0.9522,1.6778,0.80178
Gda,4.4219,9.5028,6.722,8.5558,7.5677,5.4325,8.3255,11.712,11.979,8.6258,9.6192,14.509,7.7989,5.0141,5.5816,4.761,6.7112,7.2161
Gdi1,20.636,18.055,13.444,19.556,16.217,16.298,15.462,12.613,13.976,8.6258,13.467,13.393,15.598,12.535,15.815,13.331,13.422,13.63
Gdi2,10.318,7.6023,5.7617,8.5558,7.5677,8.6921,4.7574,6.3064,6.9879,2.1564,2.8858,3.3483,6.824,11.699,11.163,8.5698,10.067,8.8196
Gfap,5.8959,7.6023,7.6823,8.5558,6.4866,7.6055,0,0.90092,0.99827,1.0782,0.96192,2.2322,0.97486,0,0,0,0,0
Git1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6714,0.93027,1.9044,1.6778,2.4054
Gja1,0,0.95028,0,0,1.0811,0,0,2.7028,1.9965,0,2.8858,0,0,0,0,0,0,0
Glo1,2.948,1.9006,1.9206,1.2223,1.0811,1.0865,0,0,0,1.0782,0,3.3483,0.97486,0.83568,0.93027,0.9522,0.8389,0
Gls,1.474,2.8508,4.8014,3.6668,3.2433,5.4325,8.3255,8.1083,2.9948,12.939,1.9238,7.8127,6.824,10.864,12.094,8.5698,13.422,9.6214
Glud1,14.74,14.254,11.523,15.889,14.054,15.211,14.272,9.9101,12.977,11.86,10.581,13.393,15.598,15.042,22.326,14.283,18.456,16.837
Glul,10.318,11.403,8.6426,11,8.6488,7.6055,9.5148,9.9101,5.9896,11.86,11.543,6.6966,8.7737,10.028,7.4422,10.474,9.2279,10.423
Gmfb,0,1.9006,1.9206,0,1.0811,1.0865,0,0,0,0,0,0,1.9497,1.6714,1.8605,1.9044,0.8389,0
Gna11,0,3.8011,1.9206,1.2223,0,2.173,1.1894,0,1.9965,2.1564,2.8858,1.1161,2.9246,3.3427,4.6514,0.9522,3.3556,2.4054
Gnai1,2.948,3.8011,3.8412,3.6668,6.4866,3.2595,11.894,10.811,6.9879,7.5475,12.505,7.8127,4.8743,6.6854,3.7211,4.761,4.1945,4.0089
Gnai2,5.8959,5.7017,4.8014,7.3336,6.4866,3.2595,10.704,11.712,11.979,11.86,9.6192,8.9288,5.8492,4.1784,3.7211,4.761,2.5167,1.6036
Gnao1,17.688,21.857,15.365,19.556,17.298,15.211,23.787,30.631,23.958,33.425,33.667,25.67,19.497,12.535,15.815,16.187,13.422,12.829
Gnaq,2.948,3.8011,4.8014,4.889,3.2433,2.173,8.3255,2.7028,5.9896,5.3911,5.7715,5.5805,2.9246,4.1784,3.7211,3.8088,5.8723,4.8107
Gnas,2.948,0.95028,0.96029,1.2223,3.2433,0,3.5681,1.8018,1.9965,1.0782,1.9238,0,3.8994,3.3427,4.6514,2.8566,3.3556,2.4054
Gnaz,0,0.95028,1.9206,0,2.1622,1.0865,0,0.90092,0.99827,0,0.96192,1.1161,0.97486,2.507,1.8605,0.9522,2.5167,4.0089
Gnb1,5.8959,9.5028,6.722,8.5558,7.5677,8.6921,9.5148,10.811,8.9844,10.782,8.6573,5.5805,9.7486,10.864,9.3027,11.426,12.583,10.423
Gnb2,4.4219,8.5525,6.722,7.3336,7.5677,6.519,4.7574,7.2074,7.9861,11.86,9.6192,3.3483,4.8743,6.6854,8.3724,7.6176,9.2279,8.0178
Gnb4,1.474,1.9006,0,1.2223,1.0811,1.0865,2.3787,4.5046,1.9965,4.3129,2.8858,0,0.97486,2.507,1.8605,0.9522,3.3556,1.6036
Gnb5,0,0.95028,0,0,0,0,0,0,0,0,0,0,2.9246,1.6714,0,3.8088,1.6778,1.6036
Got1,16.214,9.5028,10.563,14.667,10.811,13.038,7.1361,4.5046,6.9879,9.704,6.7335,8.9288,7.7989,7.5211,6.5119,12.379,8.389,5.6125
Got2,10.318,6.652,5.7617,8.5558,6.4866,6.519,3.5681,4.5046,9.9827,8.6258,6.7335,6.6966,6.824,9.1924,7.4422,5.7132,6.7112,9.6214
Gp5,0,0,1.9206,1.2223,2.1622,0,0,0,0,0,0,0,0.97486,0,0,0,0,0
Gpd1,0,0.95028,0.96029,1.2223,0,2.173,0,0.90092,0,2.1564,0.96192,0,0,1.6714,0,0.9522,2.5167,2.4054
Gpd2,0,0.95028,0.96029,1.2223,0,0,3.5681,3.6037,0,1.0782,3.8477,2.2322,2.9246,0.83568,4.6514,1.9044,2.5167,1.6036
Gphn,0,0,0,0,0,0,0,1.8018,0.99827,0,0,0,0,0,0,0,0,0
Gpi,10.318,8.5525,9.6029,11,11.892,13.038,13.083,7.2074,6.9879,10.782,6.7335,7.8127,9.7486,10.864,7.4422,9.522,10.067,8.8196
Gpm6a,0,3.8011,0.96029,3.6668,4.3244,2.173,1.1894,1.8018,2.9948,0,0.96192,4.4644,3.8994,1.6714,4.6514,3.8088,0.8389,2.4054
Gpr158,0,0,0.96029,0,0,1.0865,0,0,0,0,1.9238,1.1161,0,0,0,0,0,1.6036
Grb2,1.474,0.95028,0.96029,1.2223,0,2.173,0,0,0,0,0,0,0.97486,0,0.93027,0.9522,0.8389,0
Gria2,0,1.9006,0.96029,1.2223,1.0811,1.0865,1.1894,9.0092,5.9896,1.0782,10.581,5.5805,0.97486,0,0.93027,0,0,0
Grin1,0,0,0,0,0,0,0,1.8018,0,0,0.96192,1.1161,0,0,0,0,0,0
Grm3,1.474,0,0,0,0,0,0,2.7028,0,0,0,1.1161,0,0,0,0,0.8389,0
Gstm1,4.4219,2.8508,1.9206,6.1113,3.2433,2.173,2.3787,1.8018,0.99827,2.1564,0.96192,2.2322,3.8994,1.6714,2.7908,3.8088,2.5167,2.4054
Gstm3,5.8959,4.7514,3.8412,7.3336,4.3244,4.346,5.9468,4.5046,3.9931,5.3911,3.8477,3.3483,2.9246,5.0141,4.6514,4.761,5.0334,4.0089
Gstm5,4.4219,2.8508,2.8809,1.2223,4.3244,3.2595,1.1894,1.8018,0,2.1564,2.8858,0,0.97486,3.3427,1.8605,0.9522,3.3556,3.2071
Gsto1,1.474,0.95028,1.9206,1.2223,1.0811,1.0865,0,0,0,2.1564,0,0,0.97486,0,0.93027,0.9522,0.8389,0.80178
Gstp1,1.474,2.8508,2.8809,3.6668,2.1622,1.0865,2.3787,3.6037,1.9965,7.5475,1.9238,3.3483,1.9497,0,0,2.8566,0,0
Gucy1a2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6778,0
H2AFR,4.4219,2.8508,3.8412,3.6668,2.1622,2.173,1.1894,0,0,2.1564,0,1.1161,0,0,0,1.9044,0,0
Hadh,0,0,0.96029,0,0,1.0865,0,0,0.99827,0,0,0,0.97486,1.6714,1.8605,0.9522,1.6778,0.80178
Hadha,0,2.8508,2.8809,0,1.0811,2.173,3.5681,4.5046,1.9965,0,4.8096,4.4644,7.7989,8.3568,12.094,8.5698,10.906,9.6214
Hadhb,0,1.9006,1.9206,1.2223,1.0811,3.2595,0,2.7028,2.9948,3.2347,1.9238,3.3483,2.9246,4.1784,5.5816,2.8566,5.8723,3.2071
Hagh,0,1.9006,0.96029,0,1.0811,1.0865,0,0,0,0,0,0,0.97486,0.83568,0.93027,0.9522,0.8389,0
Hba1,5.8959,9.5028,8.6426,7.3336,8.6488,8.6921,4.7574,7.2074,5.9896,7.5475,6.7335,4.4644,4.8743,5.0141,2.7908,8.5698,4.1945,3.2071
Hbb,17.688,11.403,9.6029,11,12.973,14.125,14.272,10.811,5.9896,12.939,9.6192,8.9288,7.7989,9.1924,8.3724,8.5698,7.5501,8.8196
Hbb-b2,13.266,7.6023,6.722,7.3336,8.6488,10.865,10.704,5.4055,2.9948,5.3911,4.8096,3.3483,4.8743,6.6854,5.5816,6.6654,5.8723,6.4143
Hcn2,0,0,0,0,0,0,0,0,0,0,1.9238,0,0,0,0,0,0,0
Hdhd2,0,0.95028,0.96029,1.2223,0,1.0865,0,0,0,0,0,0,0.97486,0.83568,0.93027,1.9044,0.8389,0.80178
HES1,1.474,1.9006,0.96029,1.2223,1.0811,1.0865,0,0,0,0,0,1.1161,0.97486,1.6714,0,2.8566,2.5167,1.6036
Hibadh,0,0,0.96029,0,0,2.173,0,0,0,3.2347,0,0,1.9497,1.6714,1.8605,0,1.6778,1.6036
Hist1h4b,5.8959,1.9006,1.9206,4.889,5.4055,3.2595,1.1894,0,0.99827,1.0782,0.96192,1.1161,0,0,0,0,0,0
Hivep2,0,0,0,0,0,0,1.1894,0,1.9965,0,0,0,0,0,0,0,0,0
Hk1,7.3699,11.403,12.484,12.223,15.135,14.125,5.9468,11.712,4.9913,4.3129,7.6954,6.6966,16.573,16.714,15.815,20.948,18.456,18.441
Hnrnpa1,0,0.95028,0.96029,0,1.0811,2.173,0,0,0,0,0,0,0,0,0,0,0,0
Hnrnpa2b1,1.474,2.8508,2.8809,3.6668,2.1622,3.2595,0,2.7028,0,0,0.96192,0,0,0,0,0,0.8389,0
Hnrnpa3,0,2.8508,2.8809,1.2223,3.2433,2.173,0,0,0,0,0,0,0,0,0,0,0,0
Hnrnpd,2.948,0.95028,1.9206,3.6668,3.2433,2.173,0,0,0,0,0,0,0,0.83568,0.93027,0.9522,0.8389,0.80178
Hnrnph1,0,0,1.9206,0,1.0811,1.0865,0,0,0.99827,0,0,1.1161,0,0,0,0,0,0
Hnrnpk,4.4219,4.7514,6.722,7.3336,6.4866,7.6055,2.3787,0,1.9965,3.2347,0.96192,0,3.8994,3.3427,3.7211,3.8088,2.5167,1.6036
Homer1,0,0.95028,0,0,1.0811,2.173,0,3.6037,3.9931,0,6.7335,5.5805,0,0,0,0,0,0
Hpca,4.4219,2.8508,3.8412,3.6668,2.1622,3.2595,4.7574,4.5046,3.9931,6.4693,3.8477,5.5805,2.9246,2.507,3.7211,2.8566,3.3556,1.6036
Hpcal4,1.474,1.9006,1.9206,2.4445,2.1622,3.2595,5.9468,2.7028,5.9896,5.3911,4.8096,5.5805,3.8994,1.6714,1.8605,2.8566,2.5167,2.4054
Hprt1,2.948,0.95028,0,0,2.1622,0,1.1894,0.90092,0,2.1564,0,2.2322,0.97486,1.6714,0.93027,0.9522,0.8389,0.80178
Hras1,0,0,0.96029,1.2223,2.1622,1.0865,1.1894,1.8018,0.99827,1.0782,0.96192,0,0.97486,0.83568,1.8605,1.9044,0.8389,0
Hsd11b1,0,0,0,0,0,0,0,2.7028,0,1.0782,0.96192,1.1161,0,0,0,0,0,0
Hsd17b10,1.474,2.8508,2.8809,3.6668,3.2433,1.0865,0,1.8018,0.99827,0,0,0,1.9497,2.507,1.8605,3.8088,2.5167,1.6036
Hsp90aa1,17.688,14.254,13.444,12.223,18.379,10.865,7.1361,11.712,10.981,11.86,8.6573,10.045,17.547,19.221,17.675,12.379,12.583,16.036
Hsp90ab1,11.792,13.304,11.523,12.223,14.054,11.952,7.1361,10.811,9.9827,10.782,8.6573,10.045,14.623,15.042,9.3027,11.426,15.1,13.63
Hsp90b1,0,3.8011,2.8809,1.2223,1.0811,1.0865,1.1894,3.6037,0.99827,1.0782,0,1.1161,8.7737,8.3568,9.3027,8.5698,5.8723,6.4143
Hspa4,2.948,3.8011,3.8412,2.4445,4.3244,3.2595,3.5681,6.3064,2.9948,5.3911,5.7715,1.1161,3.8994,3.3427,5.5816,3.8088,5.0334,4.0089
Hspa5,7.3699,6.652,7.6823,9.7781,5.4055,4.346,13.083,8.1083,10.981,7.5475,9.6192,10.045,10.723,7.5211,9.3027,8.5698,11.745,10.423
Hspa8,33.902,24.707,24.968,37.89,29.19,23.903,29.734,28.829,29.948,26.955,28.858,25.67,22.422,24.235,19.536,19.996,23.489,21.648
Hspa9,2.948,3.8011,3.8412,6.1113,3.2433,6.519,4.7574,7.2074,5.9896,11.86,10.581,4.4644,9.7486,5.8497,5.5816,8.5698,2.5167,5.6125
Hspd1,19.162,18.055,21.126,17.112,18.379,16.298,28.544,21.622,28.95,30.19,30.782,25.67,30.221,25.906,26.978,26.662,20.972,20.846
Hspe1,1.474,2.8508,2.8809,3.6668,4.3244,2.173,1.1894,0.90092,1.9965,1.0782,0,3.3483,4.8743,2.507,3.7211,3.8088,2.5167,2.4054
Hsph1,2.948,1.9006,0.96029,3.6668,1.0811,2.173,2.3787,1.8018,0,0,0,0,2.9246,2.507,0.93027,1.9044,4.1945,2.4054
Hyou1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3427,1.8605,1.9044,1.6778,4.0089
Idh1,0,1.9006,1.9206,0,1.0811,1.0865,0,0,0,0,0,0,0,0.83568,0,1.9044,0.8389,0.80178
Idh2,0,0.95028,2.8809,1.2223,1.0811,2.173,0,0.90092,1.9965,0,0,0,3.8994,1.6714,4.6514,2.8566,2.5167,1.6036
Idh3a,10.318,11.403,9.6029,7.3336,14.054,5.4325,17.84,16.217,15.972,20.486,13.467,15.625,17.547,10.864,11.163,12.379,9.2279,10.423
Idh3B,7.3699,8.5525,6.722,8.5558,8.6488,4.346,5.9468,3.6037,3.9931,7.5475,5.7715,4.4644,9.7486,9.1924,10.233,10.474,7.5501,9.6214
Idh3g,1.474,0.95028,0.96029,1.2223,2.1622,0,0,1.8018,0.99827,1.0782,0.96192,0,3.8994,2.507,4.6514,4.761,3.3556,4.8107
Il6r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6036
Immt,1.474,1.9006,0.96029,1.2223,2.1622,2.173,1.1894,9.0092,8.9844,2.1564,7.6954,4.4644,0,1.6714,0.93027,0,0,1.6036
Impa1,0,0.95028,0,2.4445,2.1622,1.0865,2.3787,0,0,5.3911,0,0,0,0.83568,0,0,0.8389,0
Impact,1.474,0.95028,0.96029,1.2223,0,1.0865,2.3787,1.8018,0,0,0,0,1.9497,0.83568,1.8605,1.9044,0.8389,2.4054
Ina,8.8439,12.354,14.404,11,4.3244,11.952,0,3.6037,0,0,0,0,0,0,0,0,0,0
Itpa,0,0,1.9206,1.2223,1.0811,0,0,0,0,1.0782,0,0,1.9497,0,0.93027,0.9522,0.8389,0
Itpka,0,0,0,0,0,0,0,0.90092,0.99827,2.1564,0.96192,0,0,0,0,0,0,0
Itpr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93027,0,0.8389,1.6036
Ivd,0,0,0,1.2223,1.0811,0,2.3787,1.8018,1.9965,2.1564,0,2.2322,0.97486,0,0,0.9522,0,0.80178
Kalrn,0,0,0,0,0,0,0,0.90092,0,0,0,0,0,0.83568,0,0,0.8389,0
Kansl3,1.474,0,0,0,0,1.0865,0,0,0,0,0,0,0,0,0,0,1.6778,0.80178
Kcna1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9522,0.8389,0
Kcnab2,0,2.8508,0.96029,0,1.0811,1.0865,1.1894,0,1.9965,1.0782,2.8858,0,1.9497,0.83568,0.93027,0.9522,0.8389,1.6036
Kcnma1,1.474,0.95028,0.96029,1.2223,0,2.173,0,1.8018,0,0,0,0,0,0,0,0,0,0.80178
KIAA1598,0,0,0,0,0,0,0,0,0,0,0,0,1.9497,0,0,0,0,0.80178
Kidins220,0,0,0,0,0,0,1.1894,0,0.99827,0,0,1.1161,0,0,0,0,0.8389,0
Kif2a,0,0,0,0,0,0,0,0.90092,1.9965,0,0.96192,0,0,0.83568,0.93027,0,0.8389,0.80178
Kif5b,0,0,0,0,0,1.0865,0,0,0,0,0,0,0,0,0.93027,0,1.6778,1.6036
Klc1,0,0,0.96029,1.2223,1.0811,0,0,0.90092,0,0,0,1.1161,0.97486,2.507,0,0.9522,0.8389,2.4054
Kpnb1,2.948,3.8011,1.9206,1.2223,1.0811,4.346,0,0.90092,3.9931,2.1564,3.8477,2.2322,4.8743,3.3427,3.7211,3.8088,1.6778,1.6036
Krt1,2.948,0,0,1.2223,1.0811,1.0865,2.3787,1.8018,4.9913,3.2347,4.8096,4.4644,0,0,0,0.9522,0,0
Krt10,1.474,0,0,0,0,0,4.7574,3.6037,5.9896,3.2347,9.6192,5.5805,0,2.507,0.93027,0,0,0
Krt73,1.474,0,0,1.2223,1.0811,1.0865,3.5681,1.8018,2.9948,3.2347,2.8858,3.3483,0,0,0,0.9522,0,0
L1cam,0,1.9006,1.9206,0,0,0,0,0,3.9931,0,1.9238,1.1161,0.97486,2.507,2.7908,1.9044,0.8389,2.4054
