From,To
Hsd17b10,63864
Thop1,64517
Cbs,24250
Hsd11b1,25116
Suclg1,114597
Lrpprc,313867
Sptbn2,29211
Dnm1,140694
Dync1i1,29564
Necap1,312694
Dpp3,678760
Dpp3,114591
Dpp3,367022
Ncam1,24586
Plec,64204
Ndrg4,64457
Slc4a10,295645
Mbp,24547
Tmod2,58814
Ncdn,89791
Ndrg2,171114
Rab3b,81755
Hsp90ab1,291871
Hsp90ab1,301252
Hsp90ab1,302786
Hsp90ab1,499706
Hsp90ab1,361966
Rab3c,171058
Ttyh1,292597
Rab3a,25531
Pacs1,171444
Capza2,493810
Slc25a5,500871
Slc25a5,498023
Slc25a5,498021
Slc25a5,498885
Slc25a5,25176
Slc25a5,306026
Slc25a4,85333
Dpp6,29272
Impact,497198
Nckap1,58823
Gfap,24387
Pygm,24701
Hnrnpk,117282
Hnrnpa2b1,362361
Hnrnpa2b1,499894
Enoph1,305177
Kcnab2,29738
Slc17a7,116638
Pygb,25739
Pdzd2,65034
Hspe1,25462
Ppp5c,65179
Hsp90aa1,363933
Hsp90aa1,682160
Hsp90aa1,315370
Hsp90aa1,498264
Hsp90aa1,681144
Hsp90aa1,299331
Pafah1b1,83572
Pafah1b2,64189
Samm50,300111
Glud1,24399
Oat,64313
Ugt8,50555
Gpr158,291352
Gpr158,678897
Mecp2,29386
Hadha,170670
Hadhb,171155
Thy1,24832
Trap1,287069
Ntm,50864
Tubb3,246118
Hadh,113965
Rab7a,29448
Bdh1,117099
Pgk1,300331
Pgk1,24644
Pgk1,308536
Cd81,25621
Calm1,24244
Calm1,50663
Calm1,24242
Calm1,686404
Tubb5,29214
Apoe,25728
Cap2,116653
Hcn2,114244
Myh10,79433
Glo1,294320
Canx,29144
Idh3g,25179
Idh3a,114096
Rnpc3,691538
Dbn1,81653
Matr3,29150
Gna11,81662
Rab6a,84379
Tf,300965
Tf,24825
HES1,29577
Tuba4a,316531
Gnao1,50664
Svep1,685899
Basp1,64160
Faah,29347
Cox5a,252934
Pde2a,81743
Aco2,79250
Kidins220,116478
Idh3B,94173
Sars,266975
Mog,24558
Napa,140673
Napb,499903
Mccc1,294972
Exoc4,116654
Pak1,29431
Slc32a1,83612
Calr,64202
Pacsin1,29704
Ckb,24264
Pitpna,29525
Itpr1,25262
Dbnl,83527
Rac1,363875
Hsph1,288444
Map1b,29456
Map1a,25152
Ppp2r2a,117104
Nsf,60355
Cap1,64185
Zc3h18,292067
Acly,24159
Ran,84509
Cadm2,360687
Col1a1,29393
Slc6a17,613226
Cadm4,365216
Cadm3,360882
Rpl7a,499382
Rpl7a,498755
Rpl7a,502867
Rpl7a,366688
Rpl7a,364581
Rpl7a,361470
Rpl7a,501465
Rpl7a,304116
Rpl7a,498050
Rpl7a,503463
Rpl7a,365012
Rpl7a,500315
Rpl7a,501866
Rpl7a,361061
Rpl7a,366530
Rpl7a,296596
Rpl7a,364482
Rpl7a,502945
Rpl7a,502773
Rpl7a,499167
Rpl7a,367859
Rpl7a,289340
Rpl7a,500859
Rpl7a,365906
Rpl7a,497905
Rpl7a,305779
Rpl7a,499598
Rpl7a,366129
Rpl7a,499752
Rpl7a,367134
Rpl7a,367250
Rpl7a,685041
Rpl7a,499852
Rpl7a,365039
Rpl7a,500044
Rpl7a,363824
Rpl7a,304035
Rpl7a,501241
Rpl7a,366884
Rpl7a,500880
Rpl7a,682293
Rpl7a,499809
Rpl7a,366178
Rpl7a,366702
Rpl7a,292195
Rpl7a,501604
Rpl7a,499556
Rpl7a,684838
Aldh5a1,291133
Ppp2r1b,315648
Dpp10,363972
Stx7,60466
Cox4i1,29445
Dld,298942
Rps4x,29426
Atp6v1f,116664
Lsamp,29561
Camkv,79011
Cdc25b,171103
Rplp0,140663
Fabp7,80841
Unc13a,64829
Vps29,288666
Cd200,24560
Tpm3,117557
Myl6,317454
Myl6,362816
Myl6,685883
Myl6,685867
Plp1,24943
Rplp2,498555
Rplp2,363929
Rplp2,140662
Slc12a5,171373
Krt1,300250
Aldoa,24189
Aldoa,365784
Adh5,100145871
Fkbp1a,25639
Aldoc,24191
Lancl1,114515
Map2k1,170851
Tcp1,24818
Pc,25104
Aldh9a1,64040
Aldh1b1,298079
Caskin1,140722
Aprt,292072
Bcan,25393
Rab3gap2,289350
Tkt,64524
Phb2,114766
Acat1,25014
Acat2,308100
Acat2,364149
Lin7c,60442
Fyn,25150
Rab11b,79434
Shroom2,317435
Sncb,113893
Slc3a2,50567
7-Sep,64551
Scamp1,29521
Pgm1,24645
Pfkl,25741
8-Sep,303135
Opcml,116597
Eif4a2,500607
Eif4a2,303831
9-Sep,83788
Efhd2,298609
Sar1b,287276
Snca,29219
Kalrn,84009
Pfkm,65152
Pfkp,60416
Nap1l1,89825
Ap2a2,81637
Git1,83709
Tpp2,81815
Snd1,64635
Aak1,500244
Letm2,361169
Hagh,24439
Anxa5,25673
Letm1,305457
Anxa3,25291
Cisd1,294362
Atp6v0c,170667
Nrxn1,60391
Aldh6a1,81708
Dlst,299201
Rph3a,171039
Syt1,25716
Slc25a11,64201
Gap43,29423
Grin1,24408
Pclo,56768
Scamp5,65171
Ndufa5,25488
Slc25a18,681896
Ndufa9,362440
Snap25,25012
Psmc3,29677
Anxa6,79125
Psmc1,117263
Negr1,59318
Mark3,170577
Tnr,25567
Atp2b2,24215
Atp2b1,29598
Rps20,500559
Rps20,122772
Rps20,501769
Rps20,500817
Tpi1,365156
Tpi1,498731
Tpi1,24849
Tpi1,500959
Atp2b4,29600
Atp2b3,29599
Rogdi,287061
Atic,295406
Atic,81643
Immt,312444
Idh2,361596
Idh1,24479
Atp5f1,171375
Purb,498407
Psmd2,287984
Pura,307498
Homer1,29546
Prdx6,94167
2-Sep,117515
2-Sep,364415
3-Sep,56003
Cltc,54241
Syn1,24949
Ak1,24183
Syn2,29179
Lonp1,170916
5-Sep,116727
5-Sep,116728
Cdc42,64465
P4hb,25506
Gpi,292804
Cltb,116561
Dclk1,83825
Ap2b1,291138
Ap2b1,140670
Nudc,29648
Nudc,500342
Atp2a2,29693
Otub1,293705
Cfl1,502589
Cfl1,29271
Cfl1,688430
Map2,25595
Dars,116483
Psma5,29672
Epn3,360605
Rtn4,83765
Atp6v0a1,29757
Psma4,29671
Psma2,29669
Camk2g,171140
Abhd12,499913
Abat,81632
Rpl18,81766
Map6,29457
Rtn1,116644
Rtn3,140945
Map4,367171
Rpl12,691510
Rpl12,499782
Rpl12,685320
Rpl12,312363
Rpl12,296165
Rpl12,296644
Eef1a2,24799
Eef1a1,362075
Eef1a1,315661
Eef1a1,171361
Eef1a1,366442
Prdx1,117254
Prdx1,679528
Camk2d,24246
Slc2a13,171147
Camk2b,24245
Rap1b,171337
Rap1b,363897
Prdx5,113898
Camk2a,25400
Mpst,192172
Prdx3,64371
Sv2b,117556
Raver1,298705
Oxr1,117520
Prdx2,365310
Prdx2,29338
Sv2a,117559
Psmb6,29666
Nme2,83782
Nme2,690520
Nme1,191575
Vps26a,361846
Atl1,362750
Crym,117024
Vapa,58857
Gmfb,81661
Arpc5l,501132
Arpc5l,296710
Ryr1,114207
Ola1,296488
Vps45,64516
Ppp3ca,24674
Stoml2,298203
Ppp3cb,24675
Alb,24186
Rufy3,360921
Slc2a3,25551
Skp1,287280
Rap2b,170923
Bin1,117028
Atp5c1,116550
Psma7,29674
Ppp2ca,24672
Syngr1,29205
Ogdh,360975
Lasp1,29278
Slc9a3r1,59114
Mapt,29477
Aldh2,29539
Stxbp1,25558
Rps27a,81777
Rps27a,681260
Rps27a,687748
Rps27a,679976
Rps27a,498837
Arf5,79117
Atp1b1,25650
Cnrip1,364208
Atp1b3,25390
Atp1b2,24214
Tuba1a,691781
Tuba1a,500929
Tuba1a,499494
Tuba1a,500319
Tuba1a,365889
Tuba1a,64158
Tuba1a,500363
Tmx2,295701
Tuba1b,691781
Tuba1b,500929
Tuba1b,499494
Tuba1b,500319
Tuba1b,365889
Tuba1b,64158
Tuba1b,500363
Klc1,171041
Ppp1ca,24668
Itpka,81677
Tsc22d4,684980
Stxbp5,81022
Ckmt1,29593
St13,297828
St13,81800
Rapgef2,310533
Gdi1,25183
Cct5,294864
Gdi2,29662
Cct4,29374
Tst,25274
Pdha1,29554
Pdha1,685778
Atp1a3,24213
Cox6a1,25282
Hdhd2,361351
Gls,24398
Atp1a2,24212
Atp1a1,24211
Eef1d,300033
Ptpre,114767
Ap1b1,29663
Arf1,362306
Arf1,64310
Eef1g,364451
Eef1g,503002
Eef1g,367047
Eef1g,364765
Eef1g,293725
Calb1,83839
Armc10,296758
Cplx1,64832
Atp5a1,65262
Maoa,29253
Rpl22,81768
Tomm20,266601
Maob,25750
Vsnl1,24877
Got2,314123
Got2,25721
Got2,296593
Akap5,171026
Got1,24401
Kcna1,24520
Slc27a1,94172
Rala,81757
Gja1,24392
Crebbp,54244
Kcnma1,83731
Mapk10,25272
Cds2,114101
Cnp,25275
Gnai2,81664
Gnai1,25643
Gnai1,25686
Ldhb,24534
Prkar2a,29699
Prkar2b,24679
Ldha,366355
Ldha,503477
Ldha,502627
Ldha,366627
Ldha,364462
Ldha,24533
Ldha,502220
Ldha,365605
Ntrk2,25054
Cct2,299809
Cct3,307752
Cct3,295230
Cct3,683895
Acot7,26759
Gp5,25259
Ddost,313648
Sec22b,310710
Slc35e1,498599
Hpca,29177
Vamp2,24803
Arpc1a,81824
Pfdn2,685607
Mdh2,81829
Mdh1,24551
Cd47,29364
Pdxk,361819
Pdxk,83578
Sfxn5,261737
Pds5a,305343
Sfxn3,65042
Ushbp1,290629
Sfxn1,364678
Palm,170673
Amph,687233
Amph,688378
Amph,60668
Ctbp1,29382
Pdxp,727679
Tubb2a,498736
Tubb2b,291081
Cend1,361675
Impa1,83523
Slc1a2,29482
Slc1a3,29483
