Epilepsy,Alzheimers,ASD
HSPB2,PTK2B,FABP7
HSPB27,RIN3,FAM135B
HTR2A,RYR3,FAN1
HTR4,SDHA,FAT1
HTR7,SDHB,FBXO15
ICCA,SDHC,FBXO33
IDS,SDHD,FBXO40
IFNA1,SLC24A4,FER
IL1B,SNCA,FEZF2
IL6,SORL1,FGA
JAMS1,TNF,FGD1
JBUG,TNFRSF1A,FGFBP3
JRK,TREM2,FHIT
KAY,UQCR10,FLT1
KCNA1,UQCR11,FMR1
KCNA4,UQCRB,FOLH1
KCNAB1,UQCRC1,FOXG1
KCNAB2,UQCRC2,FOXP1
KCNH2,UQCRFS1,FOXP2
KCNJ10,UQCRH,FRK
KCNJ11,UQCRHL,FRMPD4
KCNJ3,UQCRQ,GABRA3
KCNK2,ZCWPW1,GABRA4
KCNMB4,,GABRB1
KCNN2,,GABRB3
KCNQ1,,GABRQ
KCNQ2,,GALNT13
KCNQ3,,GALNT14
KCNV1,,GAN
KEK2,,GAP43
KST1,,GAS2
L2HGDH,,GLO1
LGI1,,GLRA2
LGI2,,GNA14
LGI3,,GNAS
LGI4,,GNB1L
LIF,,GPC6
LIS-1,,GPD2
LIS1,,GPHN
MASS1,,GPR139
MC3R,,GPR37
MCEPH,,GPX1
ME2,,GRID1
MEBA,,GRID2
MECP2,,GRIK2
MEI-P26,,GRIN2A
MLLT3,,GRIN2B
MPDZ,,GRIP1
MRXE,,GRM1
MSX2,,GRM4
MT3,,GRM5
MTCO1,,GRM8
MTTK,,GRPR
MVP,,GSK3B
MYB,,GSN
NARP,,GSTM1
NDUFV1,,GTF2I
NEDD4,,GUCY1A2
NEU1,,HCFC1
NEUROD1,,HDAC4
NF1,,HDAC6
NHLRC1,,HEPACAM
NPY,,HERC2
NR4A1,,HLA-A
NRP2,,HLA-DRB1
NRXN1,,HMGN1
NTRK2,,HNRNPH2
OPHN1,,HOMER1
OPRM1,,HOXA1
OTX1,,HOXB1
PARA,,HRAS
PCDH19,,HS3ST5
PCMT1,,HSD11B1
PDYN,,HTR1B
PGK,,HTR2A
PGS,,HTR3A
PGY1,,HTR3C
PHF6,,HTR7
PHOX2A,,HUWE1
PIK3C2G,,HYDIN
PIM1,,ICA1
PLA2G4A,,IL1R2
PLAT,,IL1RAPL1
PLAUR,,IL1RAPL2
PLD1,,IMMP2L
PLP,,INADL
PNOC,,INPP1
POLG,,IQSEC2
PPT,,ITGA4
PPT1,,ITGB3
PRICKLE1,,ITGB7
PRKCG,,JARID2
PRNP,,JMJD1C
PRODH,,KANK1
PSEN1,,KATNAL2
PTGER2,,KCND2
PTGS2,,KCNJ10
PTZ1A,,KCNMA1
PTZ1B,,KCNQ2
PUM,,KCNQ3
PURA,,KCNT1
QK,,KCTD13
QPRT,,KDM5C
RALBP1,,KHDRBS2
RAS,,KIAA1586
RELN,,KIAA2022
RYR2,,KIF5C
S100B,,KIT
SCA10,,KLC2
SCA2,,KMO
SCARB2,,KPTN
SCN1A,,LAMA1
SCN1B,,LAMB1
SCN2A,,LAMC3
SCN2A1,,LEP
SCN5A,,LMX1B
SDA,,LRFN5
SEI,,LRP2
SEMA3A,,LRPPRC
SEZ2,,LRRC1
SEZ6,,LRRC7
SGCE,,LZTS2
SHAKB,,MACROD2
SLC12A5,,MAGED1
SLC12A6,,MAGEL2
SLC13A1,,MAOA
SLC17A8,,MAOB
SLC1A1,,MAP2
SLC1A2,,MAPK1
SLC1A3,,MAPK3
SLC25A22,,MAPK8IP2
SLC2A1,,MARK1
SLC30A3,,MBD1
SLC4A3,,MBD3
SLC6A11,,MBD4
SLC6A12,,MBD5
SLC6A4,,MBD6
SLC6A8,,MC4R
SLC9A1,,MCC
SLC9A6,,MCPH1
SMS,,MDGA2
SNAP25,,MECP2
SNB-1,,MED12
SOX1,,MEF2C
SOX2,,MET
SPNA2,,MKL2
SPS,,MSN
STXBP1,,MSNP1AS
SURF1,,MSR1
SV2A,,MTF1
SV2B,,MTHFR
SYN1,,MTR
SYN2,,MTX2
SYT1,,MYH4
SYT10,,MYO16
SYT4,,MYO1A
SZF1,,MYT1L
SZS1,,NBEA
SZS10,,NCKAP5
SZS11,,NCKAP5L
SZS12,,NDNL2
SZS13,,NDUFA5
SZS2,,NEFL
SZS3,,NELL1
SZS4,,NF1
SZS5,,NFIA
SZS6,,NIPA1
SZS7,,NIPA2
SZS8,,NIPBL
SZS9,,NLGN1
SZV1,,NLGN3
SZV2,,NLGN4X
SZV3,,NLGN4Y
TBP,,NOS1AP
TCF4,,NOS2A
TEF,,NPAS2
TM,,NRCAM
TMEM1,,NRP2
TNF,,NRXN1
TNFRSF1A,,NRXN2
TNR,,NRXN3
TOP1,,NSD1
TRPV1,,NTNG1
TSC1,,NTRK1
TSC2,,NTRK3
TUBA1A,,NXF5
U2AF1,,NXPH1
UBE3A,,ODF3L2
UCP2,,OGT
UNC-104,,OPHN1
UNC-25,,OPRM1
UNC-43,,OR1C1
UNC-46,,OTX1
UNC-47,,OXTR
UNC-49,,PAH
UTRN,,PARD3B
VAMP2,,PARK2
WHSC1L,,PCDH10
WNT8B,,PCDH15
YWHAB,,PCDH19
ZFHX1B,,PCDH8
ZI,,PCDH9
ZNF354A,,PCDHA1
,,PCDHA10
,,PCDHA11
,,PCDHA12
,,PCDHA13
,,PCDHA2
,,PCDHA3
,,PCDHA4
,,PCDHA5
,,PCDHA6
,,PCDHA7
,,PCDHA8
,,PCDHA9
,,PCDHAC1
,,PCDHAC2
,,PCDHGA11
,,PDE1C
,,PDE4A
,,PDE4B
,,PDZD4
,,PECR
,,PER1
,,PEX7
,,PHF8
,,PIK3CG
,,PIK3R2
,,PINX1
,,PITX1
,,PLAUR
,,PLCB1
,,PLCD1
,,PLN
,,PLXNA4
,,POGZ
,,POMGNT1
,,PON1
,,POT1
,,PPFIA1
,,PPP1R1B
,,PPP1R3F
,,PRICKLE1
,,PRICKLE2
,,PRKCB
,,PRKD1
,,PRSS38
,,PRUNE2
,,PSD3
,,PSMD10
,,PTCHD1
,,PTEN
,,PTGER3
,,PTGS2
,,PTPN11
,,PTPRC
,,PTPRT
,,PXDN
,,RAB11FIP5
,,RAB19
,,RAB39B
,,RAI1
,,RAPGEF4
,,RASD1
,,RASSF5
,,RB1CC1
,,RBFOX1
,,RBM8A
,,RBMS3
,,REEP3
,,RELN
,,RERE
,,RFWD2
,,RGS7
,,RHOXF1
,,RIMS3
,,RNPS1
,,ROBO1
,,ROBO2
,,RORA
,,RPL10
,,RPP25
,,RPS6KA2
,,RPS6KA3
,,SAE1
,,SATB2
,,SBF1
,,SCFD2
,,SCN1A
,,SCN2A
,,SCN7A
,,SCN8A
,,SDC2
,,SDK1
,,SEMA5A
,,SERPINE1
,,SETD2
,,SETDB1
,,SETDB2
,,SEZ6L2
,,SGSH
,,SGSM3
,,SH3KBP1
,,SHANK1
,,SHANK2
,,SHANK3
,,SLC16A3
,,SLC16A7
,,SLC1A1
,,SLC22A15
,,SLC24A2
,,SLC25A12
,,SLC25A14
,,SLC25A24
,,SLC25A27
,,SLC30A5
,,SLC35A3
,,SLC38A10
,,SLC39A11
,,SLC4A10
,,SLC6A3
,,SLC6A4
,,SLC6A8
,,SLC9A6
,,SLC9A9
,,SLIT3
,,SLITRK5
,,SMG6
,,SND1
,,SNRPN
,,SNTG2
,,SNX19
,,SOD1
,,SOX5
,,SPAST
,,SRD5A2
,,ST7
